symbol,Open,High,Low,Close,Volume,ema_9,ema_10,vol_ma,rsi_daily,rsi_weekly,rsi_monthly,base_score,vol_surge,alpha_score,is_rocket,bullish_htf,signal
NEE,89.12999725341797,89.5,87.52999877929688,87.6500015258789,11759500,90.22709731367249,90.46825389028888,11669290.0,37.14438521834092,50.04494362864877,72.35221855795754,56.38774191831072,1.0077305474454743,56.38774191831072,False,True,False
BLK,1077.5,1084.449951171875,1071.1099853515625,1077.4000244140625,507400,1070.678639260944,1070.5980366630047,557130.0,55.277118415630554,53.94614182818578,57.87703165687322,55.78469307714971,0.910738965771005,55.78469307714971,False,True,True
ABBV,215.9199981689453,217.0500030517578,211.91000366210935,213.1199951171875,4706700,211.89974622729622,211.5762992781389,6037795.0,56.800307787800755,52.367034061874676,58.26167209654782,55.61154402092915,0.7795395504484667,55.61154402092915,False,True,True
MARA,14.239999771118164,14.869999885559082,14.079999923706056,14.279999732971191,42643500,13.279015987943943,13.21408138034439,44246125.0,68.17276607220064,60.132802106317826,44.20105606382594,55.36809648249764,0.9637793140077239,55.36809648249764,False,False,False
INTU,314.4700012207031,317.05999755859375,302.3800048828125,304.3500061035156,9770100,351.7930086840497,354.7778623471298,4551135.0,30.577806303686188,30.173764031145822,29.956452710537533,30.16764795741058,2.14673921999677,55.16764795741058,False,False,False
CL,90.56999969482422,91.20999908447266,89.45999908447266,89.8499984741211,5811800,89.4949992272181,89.3567634933713,5414365.0,59.99399004218495,58.635676973437626,48.33151072329566,54.785673087130306,1.07340380635587,54.785673087130306,False,False,False
EXC,46.209999084472656,46.5099983215332,45.91999816894531,46.029998779296875,9208500,45.22672073986134,45.205731775067115,8438830.0,52.56622154704287,50.94766581465594,59.434182443000374,54.66598361247111,1.0912057714161798,54.66598361247111,False,True,True
FAST,44.0099983215332,44.619998931884766,43.959999084472656,44.45000076293945,5706700,43.919395697317185,43.926289755454,6614655.0,51.2821834981271,48.90705922538102,61.15019354818248,54.27933780905082,0.8627358494131591,54.27933780905082,False,False,False
MDLZ,61.939998626708984,62.52000045776367,61.220001220703125,61.2400016784668,7829300,61.3829430628021,61.348977811465744,7665190.0,56.04969701509474,57.40868700235515,50.189410039594286,54.24917821979873,1.0214097758829201,54.24917821979873,False,True,False
AMGN,340.55999755859375,342.489990234375,335.20001220703125,335.94000244140625,1860200,333.69837769454756,333.53409995527676,2750340.0,50.300674989497324,51.48523338732927,58.82451803738601,54.18403556778558,0.6763527418428267,54.18403556778558,False,True,True
MMM,153.1199951171875,154.58999633789062,152.0500030517578,154.02999877929688,2319100,149.69695395823786,149.37906248560734,3922510.0,62.787506657555085,50.137880930239135,53.886018056939506,54.167060926382476,0.591228575580432,54.167060926382476,False,True,True
V,326.4599914550781,328.5,324.510009765625,326.4800109863281,8705100,327.5338047784252,327.24483541300185,8145390.0,55.04824017370151,53.422039636367344,54.35521517399704,54.12054995888605,1.0687149418259898,54.12054995888605,False,True,False
RTX,178.0,179.2100067138672,176.07000732421875,178.97000122070312,5529700,176.02305705757573,176.00538679656697,5669080.0,49.87533255764361,45.85314344577274,64.28556456037973,54.030549713989714,0.9754140001552281,54.030549713989714,False,False,False
KDP,29.010000228881836,30.219999313354492,29.010000228881836,29.549999237060547,14386000,29.061869134385173,29.039416217161467,10110970.0,62.01362709203047,55.667298026028654,48.08393389362583,53.90321818626789,1.4228110656049815,53.90321818626789,False,False,False
EMR,137.75,141.1699981689453,136.80999755859375,140.97000122070312,2689600,136.30661577145477,136.335909926306,3139315.0,55.82147203984635,49.40970079853418,57.24766603209726,53.82724114022185,0.856747411457595,53.82724114022185,False,False,False
ORCL,193.3000030517578,195.1999969482422,190.55999755859375,193.05999755859375,12856100,189.69235185586092,189.38944025357537,21029165.0,60.142677125099524,54.59116488429422,48.05140518657168,53.08556345336627,0.611346194677725,53.08556345336627,False,False,False
DOW,36.209999084472656,36.29999923706055,35.02000045776367,35.279998779296875,14114900,36.917333766849225,37.040864492439795,10945785.0,36.490805219505,55.40928249141415,58.719299000145774,52.94959364052498,1.2895283435587306,52.94959364052498,False,True,False
PFE,25.8700008392334,25.899999618530273,25.65999984741211,25.850000381469727,29084700,25.8025624979631,25.80723939574134,36480750.0,46.4966375531075,51.15580018206769,57.08943329156562,52.59742090007483,0.7972615694578647,52.59742090007483,False,True,True
UPS,101.51000213623048,102.66999816894533,101.44000244140624,101.97000122070312,4609600,99.17258771376915,99.12134820871611,6513615.0,56.142084526375136,51.41619249016866,51.70595050756031,52.477274104366614,0.7076868989032972,52.477274104366614,False,True,True
BA,221.3000030517578,222.41000366210935,217.91000366210935,218.8999938964844,5908000,222.19407059293414,222.60744697547815,6750180.0,44.744822583752196,49.47397709737761,59.093657291757005,52.37601827240428,0.8752359196347357,52.37601827240428,False,False,False
IBM,254.5500030517578,254.5500030517578,245.4499969482422,250.69000244140625,9256100,237.25283726658884,236.3534243770311,7606360.0,63.68650497419136,49.770159926188526,48.460749815090125,52.02966489134973,1.2168895503236765,52.02966489134973,False,False,False
DE,530.0,531.75,523.8099975585938,529.1199951171875,1419100,549.8381500776505,551.6722723645966,1171020.0,32.967791694613,46.095938671693496,67.47849111513136,52.023330253652546,1.211849498727605,52.023330253652546,False,False,False
AMT,183.7899932861328,186.9900054931641,182.97000122070312,184.9499969482422,2795400,181.29539764557765,181.02009555412354,2973515.0,60.32877479141615,52.414445805020655,47.33482918866069,51.96546495575577,0.9400995118571791,51.96546495575577,False,False,False
WFC,76.91000366210938,77.66999816894531,76.7699966430664,77.5199966430664,21956700,75.98689701435524,76.01330450961022,17039805.0,50.62929048762908,44.1099102418718,59.395602854954355,51.528063336256274,1.288553478164803,51.528063336256274,False,False,False
ORLY,89.70999908447266,90.8000030517578,86.80000305175781,89.87000274658203,9060100,91.3900116822363,91.45692478264684,6147515.0,42.308349949239364,46.94311758037091,59.78502877854972,51.15292853341613,1.4737824958540158,51.15292853341613,False,False,False
