date,symbol,marketcapname,sector
31-12-2025 10:30:00 AM,SHRIRAMFIN,Largecap,Financials
31-12-2025 10:30:00 AM,NATIONALUM,Largecap,Metals & Mining
31-12-2025 10:30:00 AM,LAURUSLABS,Largecap,Healthcare
01-01-2026 10:30:00 AM,VEDL,Largecap,Metals & Mining
01-01-2026 10:30:00 AM,HINDALCO,Largecap,Metals & Mining
01-01-2026 10:30:00 AM,ASHOKLEY,Largecap,Auto
01-01-2026 10:30:00 AM,SHRIRAMFIN,Largecap,Financials
01-01-2026 10:30:00 AM,NATIONALUM,Largecap,Metals & Mining
02-01-2026 10:30:00 AM,VEDL,Largecap,Metals & Mining
02-01-2026 10:30:00 AM,HINDALCO,Largecap,Metals & Mining
02-01-2026 10:30:00 AM,ASHOKLEY,Largecap,Auto
02-01-2026 10:30:00 AM,SHRIRAMFIN,Largecap,Financials
02-01-2026 10:30:00 AM,NATIONALUM,Largecap,Metals & Mining
05-01-2026 10:30:00 AM,SBIN,Largecap,Bank
05-01-2026 10:30:00 AM,VEDL,Largecap,Metals & Mining
05-01-2026 10:30:00 AM,ASHOKLEY,Largecap,Auto
05-01-2026 10:30:00 AM,SHRIRAMFIN,Largecap,Financials
05-01-2026 10:30:00 AM,NATIONALUM,Largecap,Metals & Mining
06-01-2026 10:30:00 AM,SBIN,Largecap,Bank
06-01-2026 10:30:00 AM,VEDL,Largecap,Metals & Mining
06-01-2026 10:30:00 AM,ASHOKLEY,Largecap,Auto
06-01-2026 10:30:00 AM,SHRIRAMFIN,Largecap,Financials
06-01-2026 10:30:00 AM,NATIONALUM,Largecap,Metals & Mining
07-01-2026 10:30:00 AM,VEDL,Largecap,Metals & Mining
07-01-2026 10:30:00 AM,ASHOKLEY,Largecap,Auto
07-01-2026 10:30:00 AM,EICHERMOT,Largecap,Auto
07-01-2026 10:30:00 AM,SHRIRAMFIN,Largecap,Financials
07-01-2026 10:30:00 AM,NATIONALUM,Largecap,Metals & Mining
07-01-2026 10:30:00 AM,MCX,Largecap,Financials
08-01-2026 10:30:00 AM,ASHOKLEY,Largecap,Auto
08-01-2026 10:30:00 AM,SHRIRAMFIN,Largecap,Financials
09-01-2026 10:30:00 AM,ASHOKLEY,Largecap,Auto
09-01-2026 10:30:00 AM,NATIONALUM,Largecap,Metals & Mining
12-01-2026 10:30:00 AM,VEDL,Largecap,Metals & Mining
12-01-2026 10:30:00 AM,ASHOKLEY,Largecap,Auto
12-01-2026 10:30:00 AM,NATIONALUM,Largecap,Metals & Mining
13-01-2026 10:30:00 AM,SBIN,Largecap,Bank
13-01-2026 10:30:00 AM,VEDL,Largecap,Metals & Mining
13-01-2026 10:30:00 AM,NATIONALUM,Largecap,Metals & Mining
14-01-2026 10:30:00 AM,SBIN,Largecap,Bank
14-01-2026 10:30:00 AM,VEDL,Largecap,Metals & Mining
14-01-2026 10:30:00 AM,HINDALCO,Largecap,Metals & Mining
14-01-2026 10:30:00 AM,ASHOKLEY,Largecap,Auto
14-01-2026 10:30:00 AM,NATIONALUM,Largecap,Metals & Mining
14-01-2026 10:30:00 AM,UNIONBANK,Largecap,Bank
14-01-2026 10:30:00 AM,MCX,Largecap,Financials
16-01-2026 10:30:00 AM,SBIN,Largecap,Bank
16-01-2026 10:30:00 AM,VEDL,Largecap,Metals & Mining
16-01-2026 10:30:00 AM,NATIONALUM,Largecap,Metals & Mining
16-01-2026 10:30:00 AM,UNIONBANK,Largecap,Bank
16-01-2026 10:30:00 AM,MCX,Largecap,Financials
19-01-2026 10:30:00 AM,SBIN,Largecap,Bank
19-01-2026 10:30:00 AM,VEDL,Largecap,Metals & Mining
19-01-2026 10:30:00 AM,SHRIRAMFIN,Largecap,Financials
19-01-2026 10:30:00 AM,NATIONALUM,Largecap,Metals & Mining
20-01-2026 10:30:00 AM,SBIN,Largecap,Bank
20-01-2026 10:30:00 AM,VEDL,Largecap,Metals & Mining
21-01-2026 10:30:00 AM,VEDL,Largecap,Metals & Mining
22-01-2026 10:30:00 AM,SBIN,Largecap,Bank
22-01-2026 10:30:00 AM,VEDL,Largecap,Metals & Mining
23-01-2026 10:30:00 AM,VEDL,Largecap,Metals & Mining
23-01-2026 10:30:00 AM,NATIONALUM,Largecap,Metals & Mining
27-01-2026 10:30:00 AM,VEDL,Largecap,Metals & Mining
